compound,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX
12.69_321.0698n,18228742.65,18302971.41,17718681.97,18971441.87,17259390.9,19076841.31,17364461.04,18288536.85,17684320.42,18888448,16434443.52,18567814.64,17870967.52,20263132.23,17029710.63,18524053.55,17928539.63,19883780.35,14582334.54,16734421.98,17453478.03,18459509.25,19592383.58,21137606.2,18492878.04,19286996.39,18308173.09,19124103.99,17963070.21,18869105.62,15730201,16285383.51,16172222.34,17529822.37,13743809.6,15702823.31,12502381.29,14896781.02,15173467.08,16182704.55
11.88_195.9347n,922912.4304,1108724.629,918784.3831,1158598.662,1164935.493,1576409.692,962771.5641,1156842.758,899920.8962,1145507.29,1083059.486,1383250.475,980701.9859,1292473.823,1078761.906,1413568.86,775548.7888,985496.0042,1164075.021,1486104.189,1114467.336,1341513.965,1142057.48,1560170.963,1362569.809,1657250.099,1326447.609,1602513.156,1236505.706,1563028.972,1620435.158,1956267.922,1428111.534,1697637.898,1922639.271,2269327.551,1861738.202,2231713.563,1579026.056,1895393.767
12.41_506.9962n,7091241.937,6963474.72,7384765.507,8280854.888,7972004.316,9113610.529,6490275.4,6864215.84,6334510.258,6944787.805,3297198.332,3664790.694,4238579.837,4702671.504,3596080.005,4132483.964,3669377.274,3943104.227,2521155.788,2848727.769,7101410.15,7650010.797,7815124.955,9126410.693,6122096.546,6845711.348,6118779.166,6903347.274,7013560.834,7541942.03,4428851.111,4666936.502,5039847.604,5621866.669,3055277.556,3470939.845,2827064.481,3286921.47,3917578.014,4077137.515
12.04_253.9317n,2237629.816,2075846.149,2291397.576,2487177.096,2127012.825,2215546.215,2331268.913,2394769.161,2375290.185,2527531.223,2383408.171,2797439.193,2512885.464,2576708.111,2477243.483,2594845.568,2867573.546,2847704.746,2504277.499,2557512.929,1423856.484,1523983.942,2068679.525,2179768.029,1567439.968,1795115.498,2064939.605,2147485.428,1924876.172,2073806.533,1330213.411,1345764.662,1322266.883,1355953.825,1591339.985,1701707.778,1320572.216,1446003.747,1420591.189,1392723.784
9.66_146.0690n,3424223.278,3739202.629,3209732.954,3480058.906,3093250.189,3505383.96,3397312.847,3673071.572,3222041.203,3497523.297,4026411.426,4174035.957,3832530.592,4051036.105,4088070.995,4238206.852,3624171.623,3876134.269,3994185.678,4177824.692,3964841.48,4252731.516,4157883.497,4358834.976,4183782.345,4315887.672,4018686.938,4141781.81,4505651.322,4652269.037,5232290.744,5401272.866,5162524.433,5308270.812,5500814.462,5795804.119,5430435.269,5451182.251,4995825.347,5289845.435
12.37_253.9317n,2554033.315,2503596.194,2592470.874,2763836.998,2304256.016,2554780.495,2615601.717,2718604.845,2607655.232,2766865.808,2296914.326,2803586.033,2559624.655,2812335.064,2437652.646,2947435.086,2753314.295,3111377.764,2007788.789,2809294.091,1785512.713,1815546.386,2401935.464,2569906.76,2138893.308,2207426.2,2418043.634,2472336.496,2365971.704,2570286.314,1557571.267,1666733.854,1642835.621,1739288.634,1391854.342,1727799.483,1173298.38,1564921.166,1460151.438,1575042.229
10.86_147.0531n,5530672.786,5807632.568,6139738.183,6680247.587,5733963.154,6555418.001,4951427.212,5242130.221,5670776.737,5981400.216,4317247.533,4832637.016,4668167.089,4724624.459,4014916.279,4434731.52,4930875.392,5078093.16,4114542.248,4624616.454,6375888.084,6763534.624,5941083.654,6790707.402,5195488.567,5918518.629,5111522.864,5368680.547,5373750.435,6009618.941,3293624.108,3514747.053,3485415.018,3713778.533,3129037.213,3539624.166,3031184.546,3202734.717,3355090.744,3566567.22
10.42_307.0841n,5851411.918,5530802.412,5503016.457,5885044.666,4827263.066,5258332.548,5215932.411,5322711.546,5799483.103,5893662.328,4381907.873,4922286.555,5226156.631,5229962.816,4530852.577,5187180.156,5831851.647,5822110.152,4113911.041,4615907.52,4649509.14,4348759.696,4824040.457,5332327.83,4701846.348,4648159.873,4639145.07,4684360.9,4659124.706,5101321.287,578753.6588,373335.7617,756195.7937,602384.5801,424778.4879,360789.17,339548.5087,244959.7904,705444.9894,628214.6078
13.02_211.0359n,284536.0126,279178.4929,354671.1631,362222.9278,427519.0977,487702.2713,217922.4755,213833.7341,243399.8307,244946.8955,396520.4911,432780.2439,392695.4216,400442.044,365560.0967,399768.9854,305669.6426,309818.789,340638.7481,374228.7886,1929234.371,2020236.032,1927507.146,2108613.45,1866335.499,1959659.43,1581750.488,1628545.565,1564325.92,1696650.494,879951.1061,920540.4783,984628.8154,1027481.025,744671.5143,795860.1136,876266.1884,939511.666,885795.4645,954551.0946
7.12_180.0633n,2992916.339,3203995.86,2716194.389,2909810.306,3260877.864,3652934.621,3080434.804,3294187.972,2567199.749,2700188.843,3525176.674,3876801.239,3464564.05,3664661.028,3535690.549,3872741.261,2558739.923,2716273.583,3705356.284,3966640.227,2652425.168,2903633.687,2389532.416,2687435.647,3092091.541,3235288.396,2525829.523,2746901.039,2732525.971,3008841.958,5031102.418,5593675.296,4480618.756,4926876.212,6488762.318,6926533.958,5698488.963,6440995.893,5228398.944,6162313.218
