"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","value","symbol"
"ENSG00000117115",859.569953399508,1.82309508886432,0.102875703887109,2079.83252853391,0,0,Inf,"PADI2"
"ENSG00000143153",776.964362458594,3.50642463158295,0.0986724653809038,1497.03676416327,0,0,Inf,"ATP1B1"
"ENSG00000115758",3102.22277704559,2.1406530380272,0.0547698420449895,1669.5561753964,0,0,Inf,"ODC1"
"ENSG00000152689",1318.17403493867,3.20817002478489,0.0768961269173686,1873.72837027201,0,0,Inf,"RASGRP3"
"ENSG00000014641",21539.7877781076,1.929819551807,0.043784950781563,2139.14068804766,0,0,Inf,"MDH1"
"ENSG00000115423",4930.17228705623,2.42353758835753,0.0607298353977595,1514.68828352407,0,0,Inf,"DNAH6"
"ENSG00000153208",8015.1276981686,1.79262679258197,0.0433856610659566,1982.38860589156,0,0,Inf,"MERTK"
"ENSG00000114948",3064.15319143551,1.27057605623189,0.0465879538872389,1958.53714441458,0,0,Inf,"ADAM23"
"ENSG00000138413",16036.8865830895,1.11614289977766,0.0405097975940449,1769.46591894749,0,0,Inf,"IDH1"
"ENSG00000187957",9768.04092029681,1.80244552121996,0.041817040858822,1818.05045235487,0,0,Inf,"DNER"
"ENSG00000114378",865.178372469744,4.96259494893251,0.135815833068191,2106.77021960557,0,0,Inf,"HYAL1"
"ENSG00000244342",739.5308764557,4.65348161321853,0.143985014092952,1554.9516375032,0,0,Inf,"LINC00698"
"ENSG00000242759",1310.57192009848,5.60672664954394,0.137084389087108,2618.39780549262,0,0,Inf,"LINC00882"
"ENSG00000243701",4838.52145778261,3.23963174161539,0.0544126365757345,3470.18644166004,0,0,Inf,"DUBR"
"ENSG00000154917",3708.55907124443,1.95234005299959,0.0507315226356997,1559.23164624953,0,0,Inf,"RAB6B"
"ENSG00000079257",1717.87392277028,5.2108306377446,0.103479782209102,3833.66502533869,0,0,Inf,"LXN"
"ENSG00000168824",2426.11481903698,1.81731537823469,0.06419400768547,2196.924881867,0,0,Inf,"NSG1"
"ENSG00000109819",10601.7898838363,3.84901270196939,0.0582933860024213,4395.10049684644,0,0,Inf,"PPARGC1A"
"ENSG00000091490",6939.54979289285,2.69650036937109,0.0457609466802464,3497.41786080448,0,0,Inf,"SEL1L3"
"ENSG00000138757",20675.2923169561,1.31116088418443,0.0382944076598352,1557.07862544134,0,0,Inf,"G3BP2"
"ENSG00000118785",15976.3633089276,2.54461286351476,0.045152214032362,4973.3063580359,0,0,Inf,"SPP1"
"ENSG00000151012",934.122232469142,2.61790199385787,0.104419300011676,1624.5874249461,0,0,Inf,"SLC7A11"
"ENSG00000170153",1350.62816936735,1.35716391136645,0.0866411747214313,1682.63161925028,0,0,Inf,"RNF150"
"ENSG00000078295",1959.36476699032,5.39151290380421,0.102663984771932,4280.30514572199,0,0,Inf,"ADCY2"
"ENSG00000164175",4297.07173127232,1.83384303927098,0.05046812830228,1646.39675928815,0,0,Inf,"SLC45A2"
"ENSG00000135333",315.978901916198,9.1348868204668,0.653141874527134,2462.23156867635,0,0,Inf,"EPHA7"
"ENSG00000118515",6958.72778836777,0.841325096747062,0.0379801527095933,1497.87045458688,0,0,Inf,"SGK1"
"ENSG00000135525",1053.1536813432,2.83599445461472,0.116886967013292,1746.74378492301,0,0,Inf,"MAP7"
"ENSG00000118503",5093.53733471674,2.69333980357351,0.0556418786176557,2415.55305413984,0,0,Inf,"TNFAIP3"
"ENSG00000106066",6464.29227698915,1.80698313967411,0.0479425833506189,1516.22241830552,0,0,Inf,"CPVL"
"ENSG00000186472",23513.9150403635,2.42384244176916,0.0361788144816648,4486.48614277461,0,0,Inf,"PCLO"
"ENSG00000105976",15792.8147823915,2.94427483874914,0.0519609526360653,2987.92990692938,0,0,Inf,"MET"
"ENSG00000105929",7613.30345355765,3.31657985623592,0.0486543234304733,5255.08581726751,0,0,Inf,"ATP6V0A4"
"ENSG00000147041",1237.36120512925,4.11693323494932,0.104849683378898,1643.68088674925,0,0,Inf,"SYTL5"
"ENSG00000205777",662.274006984964,2.18614347179106,0.152294494956748,2127.75676769316,0,0,Inf,"GAGE1"
"ENSG00000104763",10780.8056936218,1.95484475019152,0.0460773091099687,1993.72682357095,0,0,Inf,"ASAH1"
"ENSG00000104635",6466.54219885459,1.31174293712919,0.046394216387584,2406.11589397723,0,0,Inf,"SLC39A14"
"ENSG00000183779",7949.64481531517,3.73305973428302,0.051131578426481,4975.10312709212,0,0,Inf,"ZNF703"
"ENSG00000147509",2070.62224994383,3.23762839791305,0.0700214668833599,2400.26961602773,0,0,Inf,"RGS20"
"ENSG00000253898",1170.88626007491,3.68178376046313,0.157702946680179,4697.5449609233,0,0,Inf,"LINC01419"
"ENSG00000123124",3918.38644196163,2.15266399543503,0.0536215998611973,1773.99098270911,0,0,Inf,"WWP1"
"ENSG00000165105",1413.48342374196,4.35283283283116,0.0974408491864708,2354.50124898644,0,0,Inf,"RASEF"
"ENSG00000184524",1629.27441098934,6.25423567864127,0.132827408868073,4129.46832053732,0,0,Inf,"CEND1"
"ENSG00000205531",18874.0390761933,1.45316417904617,0.0374155928792727,2079.00577390751,0,0,Inf,"NAP1L4"
"ENSG00000166394",3954.09849473321,2.33444662876979,0.0523403324033024,2640.96404009457,0,0,Inf,"CYB5R2"
"ENSG00000019505",2183.56319891618,6.71617558127705,0.147627854934085,5550.66064585434,0,0,Inf,"SYT13"
"ENSG00000023171",39779.4299185671,3.16987237731964,0.0456391574029657,4472.40814090129,0,0,Inf,"GRAMD1B"
"ENSG00000197321",2038.61986787627,1.22969856215256,0.0562793768619365,1629.68119504036,0,0,Inf,"SVIL"
"ENSG00000197444",3128.88111163888,2.64585472698405,0.057538829184109,2271.44236821535,0,0,Inf,"OGDHL"
"ENSG00000185737",1025.82932046627,4.03064823793241,0.106917507547777,1843.00720185146,0,0,Inf,"NRG3"
"ENSG00000198682",4723.85689096334,1.26844723768266,0.0462705442776428,1860.5390621014,0,0,Inf,"PAPSS2"
"ENSG00000120053",7397.38512182178,2.16042005394151,0.0518021934032953,1825.67592885242,0,0,Inf,"GOT1"
"ENSG00000203837",1074.52404428525,4.02952850002856,0.0941584095295933,2251.52503740158,0,0,Inf,"PNLIPRP3"
"ENSG00000178878",4448.88900616428,6.80244243555116,0.110996122811583,8083.50885656265,0,0,Inf,"APOLD1"
"ENSG00000151229",1788.71282637267,2.78479842383322,0.0670134532682411,1806.15113750448,0,0,Inf,"SLC2A13"
"ENSG00000135424",4911.12880856727,3.41745729242095,0.057546259812574,4759.11033282861,0,0,Inf,"ITGA7"
"ENSG00000118596",867.61085344992,3.88698344167425,0.142434044721248,1621.45138694925,0,0,Inf,"SLC16A7"
"ENSG00000151572",1000.11063796998,4.00804282788843,0.0969411994563189,2178.2770326795,0,0,Inf,"ANO4"
"ENSG00000088992",1915.37526552645,2.1420879837083,0.0735433822592163,2188.55568355084,0,0,Inf,"TESC"
"ENSG00000120693",1255.7296880086,3.52433036414777,0.10193890914566,1922.95530110683,0,0,Inf,"SMAD9"
"ENSG00000070269",1484.97722835303,2.35753175094388,0.0769267248810929,1579.49254284425,0,0,Inf,"TMEM260"
"ENSG00000258803",304.937099982516,4.99949743018882,0.18767862377269,2057.42717502097,0,0,Inf,"LOC101927690"
"ENSG00000140092",12588.9097329942,1.43954616810957,0.0366823529920758,2613.98249940646,0,0,Inf,"FBLN5"
"ENSG00000246922",4606.32680309251,5.25690771953947,0.0793924620571652,5087.25826339738,0,0,Inf,"UBAP1L"
"ENSG00000258484",3086.015064063,2.19190972698644,0.0549963366050862,1597.03750937472,0,0,Inf,"SPESP1"
"ENSG00000255346",988.328812275819,4.76606592926534,0.114937236560483,2918.38281589553,0,0,Inf,"NOX5"
"ENSG00000166411",4290.44326640993,1.79703564714487,0.0456465331570766,1910.85391949218,0,0,Inf,"IDH3A"
"ENSG00000197006",22260.6476027383,2.0499458297695,0.0492780857658409,2014.65039638195,0,0,Inf,"METTL9"
"ENSG00000168418",852.333649142351,8.61076795417241,0.514639751564765,2795.22357253992,0,0,Inf,"KCNG4"
"ENSG00000126856",1871.96503180707,2.30483372884987,0.0611366428040888,1491.38430753384,0,0,Inf,"PRDM7"
"ENSG00000132386",862.465614259674,2.08363485452579,0.117992271005994,2395.06737404938,0,0,Inf,"SERPINF1"
"ENSG00000108946",25973.1227604349,1.14611870413008,0.034552224208345,1691.84535461849,0,0,Inf,"PRKAR1A"
"ENSG00000182352",640.763953295871,4.11267817755815,0.259714350810769,2601.58444121375,0,0,Inf,"C17orf77"
"ENSG00000141639",5177.47470415029,3.44176745580921,0.0606897835469697,3665.94250396648,0,0,Inf,"MAPK4"
"ENSG00000196396",31576.8184612694,1.80194934700981,0.0391838021256128,2004.89664907654,0,0,Inf,"PTPN1"
"ENSG00000184402",4433.96810670089,1.80929781868335,0.0482317125248037,2151.57797893273,0,0,Inf,"SS18L1"
"ENSG00000101210",5288.77050639879,2.15508131570082,0.0505924696754626,1765.54821965632,0,0,Inf,"EEF1A2"
"ENSG00000104833",34528.2024852054,2.057096773647,0.0571408714307211,1791.90269648203,0,0,Inf,"TUBB4A"
"ENSG00000102575",5632.33201285317,2.18175069845743,0.0570896090846272,1911.97231172401,0,0,Inf,"ACP5"
"ENSG00000205786",5112.95777275398,2.27802558007182,0.0512347743591243,2699.67540614931,0,0,Inf,"LINC01531"
"ENSG00000105409",1523.18541392679,4.36216526829384,0.0947363570691482,2448.92999728145,0,0,Inf,"ATP1A3"
"ENSG00000178150",1557.69941778278,2.38287009419608,0.0890150286961208,2979.68576591161,0,0,Inf,"ZNF114"
"ENSG00000100191",879.126184015558,4.01156891918245,0.0955074966779612,2952.70157206391,0,0,Inf,"SLC5A4"
"ENSG00000189060",2343.46128818891,1.27745624150585,0.0642339618505767,2583.75027132338,0,0,Inf,"H1F0"
"ENSG00000187122",281.881750210892,7.00192573480137,0.357419610327877,1453.52417255913,2.35091147566198e-316,3.45613190796791e-314,2194.8335113786,"SLIT1"
"ENSG00000157087",305.819836021106,9.4113159327543,0.842460741236632,987.482442383519,3.72316384192506e-215,2.99740016920151e-213,2000.123498427,"ATP2B2"
"ENSG00000152049",381.413316296513,6.3422171306091,0.309311947797256,1182.13378135231,2.00868087054613e-257,2.20108645948872e-255,1615.09228940657,"KCNE4"
"ENSG00000105605",229.414601331586,5.42693673229502,0.243700396236909,1350.7532895518,4.87135710379581e-294,6.37017410440569e-292,1580.30144758948,"CACNG7"
"ENSG00000115112",262.674252039896,7.1070977093253,0.49273042329056,920.827480600442,1.1087999436007e-200,8.12513494275074e-199,1407.84618930697,"TFCP2L1"
"ENSG00000169499",101.856654183431,7.49646356121648,0.665420426146484,855.697060991893,1.54079235593153e-186,9.88320169987629e-185,1379.38754477953,"PLEKHA2"
"ENSG00000051523",369.058697913843,5.43892332075605,0.230074293305822,1100.92491151242,8.6535233556171e-240,8.22571262265467e-238,1289.48619167028,"CYBA"
"ENSG00000112379",519.710986179286,4.75242091226846,0.189718428476445,1251.14106894965,2.08050534713172e-272,2.42578724439707e-270,1281.32466425457,"ARFGEF3"
"ENSG00000205592",1674.72476895832,5.436079545145,0.224813680585939,952.380706301419,1.56011743778284e-207,1.18734468279364e-205,1113.99090127402,"MUC19"
"ENSG00000215246",633.342491118001,4.10406873099499,0.131967307030191,1258.12370878656,6.33735245313856e-274,7.52990253760102e-272,1112.70829105512,"LOC100506688"
"ENSG00000018236",656.443611755469,3.8221682390503,0.126566330679143,1334.51391388519,1.6367622058424e-290,2.09408241351805e-288,1099.55756065567,"CNTN1"
"ENSG00000074211",259.051613336989,4.89562095235636,0.208164349693412,1029.56168001379,2.71344982580856e-224,2.31023899018212e-222,1085.04752503886,"PPP2R2C"
"ENSG00000277215",224.241001258205,6.6984491473721,0.407097821943078,745.222358507365,1.50321449427835e-162,8.2169939642204e-161,1072.32315442656,"SPANXA2-OT1"
"ENSG00000121207",757.739812895392,3.42089406843811,0.111903710210697,1370.45692681404,2.5648354004682e-298,3.39145749126715e-296,1010.77024864333,"LRAT"
"ENSG00000164181",864.405987747478,3.28230176905345,0.0992673702579846,1415.7484850529,3.75078861692083e-308,5.22220092787642e-306,1002.02812926269,"ELOVL7"
"ENSG00000185442",632.74240655735,3.65800864058923,0.131258335529256,1257.20141313803,1.00503645889436e-273,1.18349293261545e-271,991.052700950922,"FAM174B"
"ENSG00000259207",410.679006192816,3.34476937992333,0.133128106703161,1304.71586356565,4.83670946775115e-284,5.96250397876053e-282,940.631335027008,"ITGB3"
"ENSG00000070601",188.368473173122,5.9822028815118,0.351930468009797,706.650854386907,3.57039819086752e-154,1.81737107052996e-152,907.742793675238,"FRMPD1"
"ENSG00000189064",225.395126284956,5.11278505445775,0.360208689205827,823.719141500969,1.35413232064441e-179,8.28190126546058e-178,905.38153810265,"GAGE2B"
"ENSG00000169862",154.395651864272,7.63614203394028,0.845783263233451,547.19273300727,1.50871691230853e-119,5.35379619151883e-118,895.500594742537,"CTNND2"
"ENSG00000108176",365.871814723859,4.16931982701392,0.157492542760059,961.290207024229,1.81335899479509e-209,1.40722603435426e-207,862.430627803855,"DNAJC12"
"ENSG00000116106",857.111277068947,2.87751974891101,0.105325612930999,1375.85421541529,1.72604920018501e-299,2.30812759995362e-297,853.578078137224,"EPHA4"
"ENSG00000006747",500.567915326445,2.96688078747937,0.109381268825364,1316.88490638982,1.10173190572172e-286,1.37972976066283e-284,842.179391416122,"SCIN"
"ENSG00000163453",1604.52222597647,2.71996270355783,0.0721407208281409,1425.85803741715,2.39255090153499e-310,3.39097528673244e-308,836.306049495926,"IGFBP7"
"ENSG00000131711",508.526328860766,4.4117828034273,0.161461098221248,871.314268697343,6.25908069314079e-190,4.14975296711342e-188,826.688587135542,"MAP1B"
"ENSG00000075340",1110.49820858291,3.01433485449064,0.0879711043133399,1245.49632609402,3.49871988473418e-271,4.05937259567517e-269,809.021976941389,"ADD2"
"ENSG00000160191",215.228530758519,5.53134133593024,0.302777025796953,663.670470926811,7.68755679237165e-145,3.61743104808439e-143,787.893108588072,"PDE9A"
"ENSG00000081138",162.005978667529,5.71308179118499,0.565312499346047,641.781365740553,4.35458863996883e-140,1.93738267893651e-138,786.764402039472,"CDH7"
"ENSG00000170961",1159.00181071501,2.56004591228496,0.0811345204346283,1419.76044137376,5.04588494273934e-309,7.10899111367246e-307,783.753427556364,"HAS2"
"ENSG00000171124",142.177918358875,4.88076488127686,0.613017423151419,723.297042027595,8.67047589608948e-158,4.53027580539827e-156,758.196931364495,"FUT3"
"ENSG00000105329",1916.29738836681,2.51741838724537,0.0698422906621631,1370.86757525638,2.08875894636254e-298,2.77746266862107e-296,744.038994412007,"TGFB1"
"ENSG00000172794",119.881730205816,7.78922079296861,0.847497814829499,446.230828642,1.26533853050212e-97,3.56115311277702e-96,743.468734790592,"RAB37"
"ENSG00000166105",212.166027522538,3.78450179812766,0.17445312867908,907.919490163905,7.04348679450773e-198,4.99138589638333e-196,739.119933244649,"GLB1L3"
"ENSG00000183023",152.711029615613,6.10929021491273,0.408665044235773,561.964115330639,9.35497954271558e-123,3.43291489607031e-121,735.95159505309,"SLC8A1"
"ENSG00000168993",311.566291751208,4.27411279607921,0.177393095824065,796.4220590964,1.14590135825861e-173,6.66396541735208e-172,731.626674303977,"CPLX1"
"ENSG00000104267",148.619206715977,6.56973023910917,0.529636245854945,504.334899586043,3.0553997536554e-110,9.77273740125264e-109,709.596456504721,"CA2"
"ENSG00000183873",222.99292277799,4.99736321338189,0.26870399304045,657.983315172908,1.32050034192943e-143,6.14045630513314e-142,705.686651390559,"SCN5A"
"ENSG00000165899",264.122359820077,3.95316583303892,0.255524969520288,825.334984852209,6.03649963197488e-180,3.70150025360657e-178,701.416626647042,"OTOGL"
"ENSG00000162458",201.063436279218,5.32559040257161,0.347176520297913,607.037704959725,1.5255878258326e-132,6.24725575253147e-131,693.41482751394,"FBLIM1"
"ENSG00000176177",1406.24579368363,2.18395211868306,0.0695468728617881,1417.41251707393,1.63223477790141e-308,2.28599792651767e-306,667.50514389265,"ENTHD1"
"ENSG00000185565",849.232734524612,3.08202668915847,0.0993324696955375,1001.01691336067,4.28488447930636e-218,3.50930556196202e-216,664.037378615444,"LSAMP"
