"","logFC.SC07vsSC01","logFC.SC10vsSC01","logFC.SC10vsSC07","logCPM","F","PValue","symbol","value"
"ENSG00000228794",0.210782164670642,0.412980652014941,0.202198487344299,4.00399750742787,15.6815119653331,6.7482513217855e-05,"LINC01128",1.72246331765184
"ENSG00000188976",-0.358138738922812,-0.384591550173067,-0.026452811250255,7.35974195791579,56.373187600714,3.49452534738928e-09,"NOC2L",-3.25234144331311
"ENSG00000187961",-0.237646810683106,-0.366679602353685,-0.129032791670579,4.22798911962452,13.5398767118664,0.000165589835099689,"KLHL17",-1.3864032290554
"ENSG00000187642",1.84588061634884,1.47211359611839,-0.373767020230456,1.28427638079175,48.5238389430346,1.30072554715357e-08,"PERM1",11.6088144914026
"ENSG00000188290",0.0557462782541849,0.688415586246833,0.632669307992648,2.27861069542463,17.1370658428511,3.81956789743183e-05,"HES4",3.0414102607585
"ENSG00000187608",2.46116795895521,2.28960497817541,-0.1715629807798,2.23967305105913,135.604101256913,9.33118273737554e-13,"ISG15",27.5440928319815
"ENSG00000188157",-0.461867635414238,-0.546300070630616,-0.0844324352163777,7.57231197127621,66.2835945459252,1.66787883251892e-09,"AGRN",-4.79533215528742
"ENSG00000217801",1.51179343139883,1.72371981621605,0.211926384817223,2.99577616012025,125.919017122936,1.92125279423265e-12,"LOC100288175",20.1958175514489
"ENSG00000131591",-0.202548829650737,-0.285565424537323,-0.0830165948865861,4.30863735108577,10.0224077654353,0.00087413299370488,"C1orf159",-0.87337971598045
"ENSG00000176022",-0.9703238836186,-0.729678093370941,0.240645790247659,4.82995946534705,105.808684289427,1.03007258395359e-11,"B3GALT6",-8.01706965466257
"ENSG00000160087",-0.204457237135384,-0.367417071085768,-0.162959833950384,5.48113461942941,19.9778622087054,1.36451551309535e-05,"UBE2J2",-1.78749195856544
"ENSG00000131584",-0.058571768513865,-0.444987053539752,-0.386415285025887,5.32289632343935,39.2743339377142,7.82201144543023e-08,"ACAP3",-3.16238128467434
"ENSG00000127054",0.0311763459849719,-0.222954340748705,-0.254130686733677,6.52125826315606,18.8613273049532,2.02072024616967e-05,"INTS11",-1.04665777193192
"ENSG00000224051",0.816746319407975,0.639676479298514,-0.177069840109461,6.09828234594221,128.387192351831,1.59070146361865e-12,"CPTP",7.5471662140635
"ENSG00000107404",0.0117419935807117,-0.271236283832175,-0.282978277412887,6.07967592787097,22.1538901163172,6.60484178315969e-06,"DVL1",-1.40504126729342
"ENSG00000162576",-0.212258115669881,0.435014486788914,0.647272602458796,1.75896788014918,9.76269867900482,0.000999398579117587,"MXRA8",1.30515711762213
"ENSG00000175756",0.288050915400768,0.162541277192378,-0.125509638208391,6.92099825367897,14.8095016503656,0.000103757638703456,"AURKAIP1",0.647561184571005
"ENSG00000221978",0.0191538309113427,-0.201136987414235,-0.220290818325578,7.06687417571057,13.44455604036,0.000172656038621813,"CCNL2",-0.756841922498419
"ENSG00000224870",-0.429564933830659,-0.318944994450424,0.110619939380235,4.62233650964231,24.7999305630646,2.9094374704141e-06,"MRPL20-AS1",-1.76574039891141
"ENSG00000179403",0.119475448977395,0.466905779675118,0.347430330697722,3.04033165708933,13.2287076481816,0.000189908866794755,"VWA1",1.73756873516732
"ENSG00000197785",0.132226957504304,-0.133214898555182,-0.265441856059485,6.26846701095376,18.0404021876863,2.72314008201113e-05,"ATAD3A",-0.608116689178047
"ENSG00000160075",-0.171383071156982,-0.151496028683769,0.0198870424732132,6.84585253397343,9.9940928895229,0.000886916549282195,"SSU72",-0.462383641145719
"ENSG00000228594",-0.441916192047525,-0.628891610907982,-0.186975418860456,4.24087488656556,32.7003672494299,3.47355347442666e-07,"FNDC10",-4.06215305120783
"ENSG00000197530",-0.0796865274507126,-0.793027079199839,-0.713340551749126,4.35032197509738,74.4128460641798,2.82793206191836e-10,"MIB2",-7.57224367195529
"ENSG00000248333",-0.148197449894286,-0.495040315801229,-0.346842865906943,4.77621318206629,32.0565035581826,4.06824105667317e-07,"CDK11B",-3.16360133608671
"ENSG00000189339",-0.226584574503817,-0.361750633769491,-0.135166059265674,4.61988235919244,13.4222555739295,0.000174356431173013,"SLC35E2B",-1.3596621960349
"ENSG00000215790",-0.578480029353498,-1.06769348319897,-0.489213453845476,0.743276258030224,12.3615447124884,0.000280929560065805,"SLC35E2A",-3.79180937050214
